trial,selector,energy_above_hull_per_atom,rmsd_from_relaxation,stable,novel_unique_stable,comp_validity,structure_validity,novel,unique,converged,ehull_change,rmsd_relative_change,stable_change,nus_change,composition_change,structure_change,novel_change,unique_change
31,Q2_RFR,0.0666884227564016,0.004380176398705625,0.875,0.375,1.0,1.0,0.375,0.875,1.0,-0.05854770121650876,-0.8192549073111721,0.375,-0.125,0.125,0.0,-0.375,0.0
31,Q4_CPRC,0.06537550886174834,0.004746973012545638,0.875,0.375,1.0,1.0,0.375,1.0,1.0,-0.05986061511116203,-0.8041192867489381,0.375,-0.125,0.125,0.0,-0.375,0.125
31,Q6_NS_SETRANK_PROXY,0.08660580281323757,0.006088011378425875,0.75,0.5,1.0,1.0,0.5,0.875,1.0,-0.0386303211596728,-0.7487822222846109,0.25,0.0,0.125,0.0,-0.25,0.0
32,baseline_first,0.1625983065474626,0.029735824210576387,0.5,0.125,0.875,1.0,0.625,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Q1_UQ_PQR,0.08118634494226082,0.0479487456636591,0.875,0.5,0.875,1.0,0.625,1.0,1.0,-0.08141196160520178,0.6124908905872792,0.375,0.375,0.0,0.0,0.0,0.125
32,Q2_RFR,0.09203965976353674,0.0180246436528728,0.75,0.375,0.875,1.0,0.5,0.875,1.0,-0.07055864678392586,-0.39384079199453204,0.25,0.25,0.0,0.0,-0.125,0.0
32,Q4_CPRC,0.08118634494226082,0.0479487456636591,0.875,0.5,0.875,1.0,0.625,1.0,1.0,-0.08141196160520178,0.6124908905872792,0.375,0.375,0.0,0.0,0.0,0.125
32,Q6_NS_SETRANK_PROXY,0.08156665863697218,0.04679531578194656,0.875,0.5,0.875,1.0,0.625,1.0,1.0,-0.08103164791049042,0.5737016553017718,0.375,0.375,0.0,0.0,0.0,0.125
33,baseline_first,0.14577516549690983,0.04286865898016653,0.375,0.25,0.875,1.0,0.5,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Q1_UQ_PQR,0.058790196395571453,0.006908439341175375,1.0,0.25,0.875,1.0,0.25,0.875,1.0,-0.08698496910133838,-0.8388463855524007,0.625,0.0,0.0,0.0,-0.25,0.125
33,Q2_RFR,0.058790196395571453,0.006908439341175375,1.0,0.25,0.875,1.0,0.25,0.875,1.0,-0.08698496910133838,-0.8388463855524007,0.625,0.0,0.0,0.0,-0.25,0.125
33,Q4_CPRC,0.058790196395571453,0.006908439341175375,1.0,0.25,0.875,1.0,0.25,0.875,1.0,-0.08698496910133838,-0.8388463855524007,0.625,0.0,0.0,0.0,-0.25,0.125
33,Q6_NS_SETRANK_PROXY,0.07717972707960505,0.005486105167808075,0.75,0.5,0.875,1.0,0.5,0.875,1.0,-0.06859543841730478,-0.872025267448971,0.375,0.25,0.0,0.0,0.0,0.125
34,baseline_first,0.11321800253965314,0.09935812736708632,0.375,0.25,0.625,1.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Q1_UQ_PQR,0.08298044574822412,0.04860574217339705,0.875,0.375,0.875,1.0,0.5,1.0,1.0,-0.03023755679142902,-0.5108025537375583,0.5,0.125,0.25,0.0,-0.25,0.0
34,Q2_RFR,0.08904256988836376,0.013492875444755123,0.625,0.0,0.875,1.0,0.0,0.625,1.0,-0.02417543265128938,-0.8641995798199311,0.25,-0.25,0.25,0.0,-0.75,-0.375
34,Q4_CPRC,0.08298044574822412,0.04860574217339705,0.875,0.375,0.875,1.0,0.5,1.0,1.0,-0.03023755679142902,-0.5108025537375583,0.5,0.125,0.25,0.0,-0.25,0.0
34,Q6_NS_SETRANK_PROXY,0.08649980983172419,0.04863535067284876,0.875,0.5,0.875,1.0,0.625,1.0,1.0,-0.026718192707928953,-0.5105045559769693,0.5,0.25,0.25,0.0,-0.125,0.0
35,baseline_first,0.16846513134784208,0.07443614559129963,0.25,0.25,0.875,1.0,0.625,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Q1_UQ_PQR,0.06745600504477497,0.00527582249281695,0.875,0.375,0.75,1.0,0.375,1.0,1.0,-0.1010091263030671,-0.9291228414514573,0.625,0.125,-0.125,0.0,-0.25,0.25
35,Q2_RFR,0.06595447229371508,0.003241522466595863,0.75,0.125,0.875,1.0,0.125,0.75,1.0,-0.102510659054127,-0.9564523063244862,0.5,-0.125,0.0,0.0,-0.5,0.0
35,Q4_CPRC,0.06745600504477497,0.00527582249281695,0.875,0.375,0.75,1.0,0.375,1.0,1.0,-0.1010091263030671,-0.9291228414514573,0.625,0.125,-0.125,0.0,-0.25,0.25
35,Q6_NS_SETRANK_PROXY,0.06967904155321566,0.0101832103970813,0.875,0.5,0.875,1.0,0.5,1.0,1.0,-0.09878608979462641,-0.863195356017043,0.625,0.25,0.0,0.0,-0.125,0.25
36,baseline_first,0.16512536465404853,0.041369377917752456,0.375,0.125,0.875,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Q1_UQ_PQR,0.09572821368964776,0.04175734752820199,0.625,0.25,0.875,1.0,0.375,0.875,1.0,-0.06939715096440077,0.009378183332146461,0.25,0.125,0.0,0.0,-0.125,-0.125
36,Q2_RFR,0.06310241371187372,0.006452018521320325,0.75,0.25,1.0,1.0,0.25,0.75,1.0,-0.10202295094217481,-0.8440387831272746,0.375,0.125,0.125,0.0,-0.25,-0.25
36,Q4_CPRC,0.08002307290974173,0.007952249278141636,0.75,0.25,0.875,1.0,0.25,0.875,1.0,-0.08510229174430681,-0.8077745018561383,0.375,0.125,0.0,0.0,-0.25,-0.125
36,Q6_NS_SETRANK_PROXY,0.09494077812393029,0.045601372743248395,0.75,0.375,0.875,1.0,0.5,1.0,1.0,-0.07018458653011825,0.10229776318874495,0.375,0.25,0.0,0.0,0.0,0.0
37,baseline_first,0.1319169572120343,0.10315272278398402,0.375,0.25,0.625,1.0,0.75,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Q1_UQ_PQR,0.06507947902815456,0.006525765911781588,0.875,0.375,0.875,1.0,0.375,0.75,1.0,-0.06683747818387975,-0.9367368525458369,0.5,0.125,0.25,0.0,-0.375,-0.125
37,Q2_RFR,0.05575077793660729,0.005676830259527288,0.875,0.375,0.875,1.0,0.375,0.75,1.0,-0.07616617927542702,-0.9449667434235803,0.5,0.125,0.25,0.0,-0.375,-0.125
