comparison,kind,field_or_block,stage,outcome,spearman_rho,two_sided_p,n
TCL_vs_C0,conditional_hidden,gemnet_h1,late_70_100_mid_to_low_noise,e_hull,0.22803201533531697,0.000233922479484457,256
TCL_vs_C0,conditional_hidden,gemnet_h1,late_70_100_mid_to_low_noise,severe,0.15365642871132196,0.013851007150208778,256
TCL_vs_C0,conditional_hidden,gemnet_h1,mid_30_70,initial_max_force,0.12576247425040052,0.04439512811397535,256
TCL_vs_C0,conditional_hidden,gemnet_h1,mid_30_70,atomic_force_mean,0.13951848249027232,0.02559512007208764,256
TCL_vs_C0,conditional_hidden,gemnet_h1,mid_30_70,rmsd,0.03427701459805906,0.5851286569915688,256
TCL_vs_C0,conditional_hidden,gemnet_h1,mid_30_70,relaxation_steps,0.13215972965419062,0.03455914432722621,256
TCL_vs_C0,conditional_hidden,gemnet_h1,mid_30_70,e_hull,0.04664754520485236,0.4574133864594444,256
TCL_vs_C0,conditional_hidden,gemnet_h1,mid_30_70,severe,0.042727990871597545,0.49611632617171253,256
TCL_vs_C0,conditional_hidden,gemnet_h2,early_0_30_high_to_mid_noise,initial_max_force,0.4712763218127717,1.4699048096496683e-15,256
TCL_vs_C0,conditional_hidden,gemnet_h2,early_0_30_high_to_mid_noise,atomic_force_mean,0.4648160334172579,3.982963790786413e-15,256
TCL_vs_C0,conditional_hidden,gemnet_h2,early_0_30_high_to_mid_noise,rmsd,0.3754739312975589,5.408795834165976e-10,256
TCL_vs_C0,conditional_hidden,gemnet_h2,early_0_30_high_to_mid_noise,relaxation_steps,0.5338794376127691,2.899083020437463e-20,256
TCL_vs_C0,conditional_hidden,gemnet_h2,early_0_30_high_to_mid_noise,e_hull,0.14967526894026092,0.01654796231330042,256
TCL_vs_C0,conditional_hidden,gemnet_h2,early_0_30_high_to_mid_noise,severe,0.24141314842452619,9.557071554754344e-05,256
TCL_vs_C0,conditional_hidden,gemnet_h2,late_70_100_mid_to_low_noise,initial_max_force,0.19139748798352021,0.002098970629152263,256
TCL_vs_C0,conditional_hidden,gemnet_h2,late_70_100_mid_to_low_noise,atomic_force_mean,0.17804775120164795,0.004267355504752451,256
TCL_vs_C0,conditional_hidden,gemnet_h2,late_70_100_mid_to_low_noise,rmsd,0.07887818988866818,0.20845126166415354,256
TCL_vs_C0,conditional_hidden,gemnet_h2,late_70_100_mid_to_low_noise,relaxation_steps,0.2216534578831086,0.0003520341375806237,256
TCL_vs_C0,conditional_hidden,gemnet_h2,late_70_100_mid_to_low_noise,e_hull,0.22145084687571517,0.0003565675821613099,256
TCL_vs_C0,conditional_hidden,gemnet_h2,late_70_100_mid_to_low_noise,severe,0.14182406200841802,0.023234050361676445,256
TCL_vs_C0,conditional_hidden,gemnet_h2,mid_30_70,initial_max_force,0.3759884985122453,5.101551030102647e-10,256
TCL_vs_C0,conditional_hidden,gemnet_h2,mid_30_70,atomic_force_mean,0.3818050469214923,2.6151437286501024e-10,256
TCL_vs_C0,conditional_hidden,gemnet_h2,mid_30_70,rmsd,0.2908771835083131,2.2011810514527736e-06,256
TCL_vs_C0,conditional_hidden,gemnet_h2,mid_30_70,relaxation_steps,0.37400086425667817,6.390923240475513e-10,256
TCL_vs_C0,conditional_hidden,gemnet_h2,mid_30_70,e_hull,0.15585731860837718,0.012532320425459067,256
