relative_path,size_bytes,sha256,category,experiment,required_for_laptop_analysis,source_path,generated_or_original,notes
figures/generated/fig4_compatibility_paired.svg,50567,bf91e23e887f53d602fc58c7217fcd416f7b98acd57b2006ab11706a97b39235,figure,archive_wide,False,,generated,
figures/generated/fig5_replication_paired.pdf,15447,0f7f60d485bb3816398e6b3e74b39ec64860a2d0204857c0e7b3858fde547d94,figure,archive_wide,False,,generated,
figures/generated/fig5_replication_paired.png,103278,d553ed37eccf525953d7e796adffc87bdb5bfdff28afb55f7a509e0b270cdf6e,figure,archive_wide,False,,generated,
figures/generated/fig5_replication_paired.svg,51815,183da3eb6eb441fc06c594b3a877b676691bc30e9b2aaa0715106850f9ab447b,figure,archive_wide,False,,generated,
figures/generated/fig6_independent_forest.pdf,13253,ce7b332440f18f620cbf23f13121f0506ba975dde7cd5f1113e8809a9cd27b6c,figure,archive_wide,False,,generated,
figures/generated/fig6_independent_forest.png,39870,b5ee4029f7adb5ce803f3bdfc5bfc3bfddea82bd41106468602f908ee159f303,figure,archive_wide,False,,generated,
figures/generated/fig6_independent_forest.svg,26642,a712b95bb342efff0a0b434323979d0f39cd6eb7a7c9acf1e1839b50b50e7d43,figure,archive_wide,False,,generated,
figures/generated/fig7_leakage_harm.pdf,13730,dd07890c11410ba2aa5bec7f439c0e81627a3f64d0a964fa7970c9825eb9a95a,figure,archive_wide,False,,generated,
figures/generated/fig7_leakage_harm.png,51013,db40f88d9b264cc93cf0306b84b6d1f1cb350a6824df7d34a251554947d6573a,figure,archive_wide,False,,generated,
figures/generated/fig7_leakage_harm.svg,26857,14e1a4fd4d8d173ed424a1567c7c036460a415cf794721e70f1f0222d7cf11a2,figure,archive_wide,False,,generated,
figures/source_data/README.md,111,bd0335957ad343d861e35fbd850fd8d17cb3e26d4d126a06ffd7948f9ba79001,figure,archive_wide,False,,generated,
reports/compatibility/final_report.md,4512,a0f57712e01b83ea653f47c5ca520b236ea3c7d6a61283f1e12431973e584fa8,report,archive_wide,False,,generated,
reports/compatibility/final_summary.json,11410,6b0a02af26aaebbcb43f679fa0ff976f352a28743bd5c916217b29a8ce28d6d8,report,archive_wide,False,,generated,
reports/compatibility/paired_statistics.csv,2512,d04111fcf5d581916a0408eef362d2397978c2b711b636ae55ecb4d0d7dd9a5f,report,archive_wide,False,,generated,
reports/innovation1/formal_final_report.json,5905,becc028c5b1fbda9035be71345639da61d6e3eef96bb9968a0b3079d1c2f0b2b,report,innovation1,False,,generated,
reports/innovation1/formal_final_report.md,1499,d9ccaa05679c5871f7bcc4d8ae0eb5615a45f7540a3f86b9867f17ea45ded7b0,report,innovation1,False,,generated,
reports/innovation2/final_report.md,7163,49bd1d918b7974c986308a372fe44d5615be6d35ae37d273dbb45fe1de9d2176,report,innovation2,False,,generated,
reports/innovation2/final_summary.json,22760,79f53b07bb937e939358e16d29e786be63c49c573323dd888af4c782ff08eef1,report,innovation2,False,,generated,
reports/innovation2/formal_paired_statistics.csv,4892,24f900ed707ee4d9dfe2ddd44fbaace0575d8b48f60a425234846466b06215a5,report,innovation2,False,,generated,
reports/innovation2/formal_seed_audit.json,738,eb1406731bb2f67b58a47d6cad601704f1757a951c6bf5a53a8f134aa0c090ea,report,innovation2,False,,generated,
reports/leakage_diagnostic/final_report.md,1791,0c5ec9059b2935f9e4917a5f48635bd257c23f8e5b8aa72c9c50a0708fb1f204,report,leakage_diagnostic,False,,generated,
